Model,Accuracy,AUC,Dataset
LightGBM,0.8185,0.7722734508280908,GAN
LightGBM,0.817,0.7751598070720364,Original
LightGBM,0.8121666666666667,0.77268144486654,SMOTE
Logistic Regression,0.8035,0.7352794380196582,GAN
Logistic Regression,0.806,0.7327450371072998,Original
Logistic Regression,0.7171666666666666,0.7221931501832506,SMOTE
Random Forest,0.8138333333333333,0.7516304038447552,GAN
Random Forest,0.8106666666666666,0.75039924554968,Original
Random Forest,0.7906666666666666,0.7528024594461183,SMOTE
XGBoost,0.8118333333333333,0.7603969540100411,GAN
XGBoost,0.8118333333333333,0.7564694872869542,Original
XGBoost,0.7991666666666667,0.751687329495179,SMOTE
